begin,end,1,2,3,4,5,6,0
740,855,物理,物理,物理,物理,物理,物理,物理
905,1020,数学,数学,数学,数学,数学,数学,数学,
1030,1145,化学,化学,化学,化学,化学,化学,化学,
1320,1445,语文,语文,语文,语文,语文,语文,语文,
1455,1610,英语,英语,英语,英语,英语,英语,英语,
1620,1735,英语,化学,数学,物理,语文,休息,休息
1805,1920,化学,英语,语文,数学,物理,休息,休息
